Дата и время вызова функции 2021-02-14 22:35:14, ее имя - summa, аргументы ((7, 5) {}), результат - 12
Дата и время вызова функции 2021-02-14 22:36:12, ее имя - summa, аргументы ((2, 8) {}), результат - 10
Дата и время вызова функции 2021-02-14 22:36:14, ее имя - summa, аргументы ((3, 9) {}), результат - 12
Дата и время вызова функции 2021-02-14 22:36:16, ее имя - summa, аргументы ((13, 6) {}), результат - 19
Дата и время вызова функции 2021-02-14 22:36:18, ее имя - summa, аргументы ((7, 5) {}), результат - 12
Дата и время вызова функции 2021-02-14 22:46:17, ее имя - summa, аргументы ((2, 8) {}), результат - 10
Дата и время вызова функции 2021-02-14 22:46:19, ее имя - summa, аргументы ((3, 9) {}), результат - 12
Дата и время вызова функции 2021-02-14 22:46:21, ее имя - summa, аргументы ((13, 6) {}), результат - 19
Дата и время вызова функции 2021-02-14 22:46:23, ее имя - summa, аргументы ((7, 5) {}), результат - 12
Дата и время вызова функции 2021-02-14 23:01:19, ее имя - summa, аргументы ((2, 8) {}), результат - 10
Дата и время вызова функции 2021-02-14 23:01:21, ее имя - summa, аргументы ((3, 9) {}), результат - 12
Дата и время вызова функции 2021-02-14 23:01:23, ее имя - summa, аргументы ((13, 6) {}), результат - 19
Дата и время вызова функции 2021-02-14 23:01:25, ее имя - summa, аргументы ((7, 5) {}), результат - 12
